DestinationId;RegionId;AirportName
6290282;6290282;Hobart International Airport (HBA), Tasmania, Australia
6312102;6312102;Albany International Airport (ALB), New York, United States of America
6336858;6336858;Taoyuan International Airport (TPE), Dayuan, Taiwan
6337574;6337574;Jose Joaquin de Olmedo Intl Airport (GYE), Ecuador
6337877;6337877;Phuket International Airport (HKT), Thailand
6341212;6341212;Cincinnati-Northern Kentucky Intl. Airport (CVG), Hebron, Kentucky, United States of America
6342727;6342727;Winnipeg James Armstrong Richardson International Airport (YWG), Manitoba, Canada
6348387;6348387;Nagasaki Airport (NGS), Japan
6348538;6348538;Sendai Airport (SDJ), Sendai, Japan
6348976;6348976;Gimhae Airport (PUS), Busan, South Korea
6357375;6357375;Zaragoza Airport (ZAZ), Spain
6358348;6358348;London International Airport (YXU), Ontario, Canada
800008;800008;Hartsfield-Jackson Atlanta International Airport (ATL), Georgia, United States of America
800018;800018;Logan International Airport (BOS), Massachusetts, United States of America
800023;800023;Chicago O'Hare International Airport (ORD), Illinois, United States of America
800027;800027;Dallas-Fort Worth International Airport (DFW), Texas, United States of America
800032;800032;Denver International Airport (DEN), Colorado, United States of America
800036;800036;Hollywood International Airport (FLL), Florida, United States of America
800038;800038;George Bush Intercontinental Airport (IAH), Texas, United States of America
800060;800060;Los Angeles Intl. (LAX), California, United States of America
800068;800068;Miami International Airport (MIA), Florida, United States of America
800082;800082;LaGuardia Airport (LGA), New York, United States of America
800083;800083;John F. Kennedy International Airport (JFK), New York, United States of America
800088;800088;Orlando International Airport (MCO), Florida, United States of America
800121;800121;San Antonio International Airport (SAT), Texas, United States of America
800127;800127;San Francisco International Airport (SFO), California, United States of America
800133;800133;Seattle-Tacoma International Airport (SEA), Washington, United States of America
800137;800137;Ronald Reagan National Airport (DCA), Virginia, United States of America
800138;800138;Washington Dulles International Airport (IAD), Virginia, United States of America
9965SXT;9965;Taman Negara National Park, Malaysia
